model,layer,beta,condition,seeds,accuracy,valid_rate,prediction_changed_rate,mean_expected_count_shift,mean_direction_aligned_shift,mean_generated_shift_valid_only,mean_endpoint_probe_shift,mean_relative_state_norm
Qwen3-8B,28,1.0,ridge,10,1.0,1.0,0.0,9.49518636587765e-05,9.49518636587765e-05,0.0,3.1121826171875,0.11960636186324596
Qwen3-8B,28,1.0,random,10,1.0,1.0,0.0,0.0001059936386282434,0.0001059936386282434,0.0,0.002792143728584051,0.1196600141321135
Qwen3-8B,29,-1.0,ridge,10,1.0,1.0,0.0,-2.9856073140965832e-05,2.9856073140965832e-05,0.0,-2.397464966773987,0.09681674681323979
Qwen3-8B,29,-1.0,random,10,1.0,1.0,0.0,-7.441712917710675e-06,7.441712917710675e-06,0.0,0.002477769274264574,0.09687310925842241
Qwen3-8B,29,1.0,ridge,10,1.0,1.0,0.0,5.0526105247428174e-05,5.0526105247428174e-05,0.0,2.3976793766021727,0.09682413638893714
Qwen3-8B,29,1.0,random,10,1.0,1.0,0.0,8.702574451464606e-05,8.702574451464606e-05,0.0,-0.0023390345741063356,0.09687279029835082
Qwen3-8B,30,-1.0,ridge,10,1.0,1.0,0.0,5.211886547384914e-05,-5.211886547384914e-05,0.0,-0.9395376205444336,0.04454070782784644
Qwen3-8B,30,-1.0,random,10,1.0,1.0,0.0,2.3875811544149526e-05,-2.3875811544149526e-05,0.0,5.623335018754005e-05,0.04455036687924442
Qwen3-8B,30,1.0,ridge,10,1.0,1.0,0.0,8.747986641148842e-05,8.747986641148842e-05,0.0,0.9391116917133331,0.04453149919515112
Qwen3-8B,30,1.0,random,10,1.0,1.0,0.0,-3.080398587762545e-06,-3.080398587762545e-06,0.0,-6.505332421511412e-05,0.04455026504581517
Qwen3-8B,31,-1.0,ridge,10,1.0,1.0,0.0,-9.253712213430631e-06,9.253712213430631e-06,0.0,-0.885608047246933,0.04627251240677987
Qwen3-8B,31,-1.0,random,10,1.0,1.0,0.0,-5.177887585250396e-05,5.177887585250396e-05,0.0,-4.310845397412777e-05,0.046232604156711946
Qwen3-8B,31,1.0,ridge,10,1.0,1.0,0.0,1.756635465746115e-05,1.756635465746115e-05,0.0,0.8856268525123596,0.046271033506826056
Qwen3-8B,31,1.0,random,10,1.0,1.0,0.0,6.56629793576613e-05,6.56629793576613e-05,0.0,3.665697295218706e-05,0.046231866070371136
Qwen3-8B,32,-1.0,ridge,10,1.0,1.0,0.0,5.523887912803893e-05,-5.523887912803893e-05,0.0,-0.8938678920269012,0.04540119806363693
Qwen3-8B,32,-1.0,random,10,1.0,1.0,0.0,3.633195623944374e-05,-3.633195623944374e-05,0.0,-0.0002707717474550009,0.045430840340176304
Qwen3-8B,32,1.0,ridge,10,1.0,1.0,0.0,7.791761780038265e-05,7.791761780038265e-05,0.0,0.8938561320304871,0.04539985120073924
Qwen3-8B,32,1.0,random,10,1.0,1.0,0.0,6.750091524803104e-05,6.750091524803104e-05,0.0,0.00030157258734107015,0.04542836458427592
